
                       be used for evaluation purposes
13-Jul-2019 14:16
                       _______________________________

                       P E A K     F I T     R E P O R T
                       _______________________________

 Spectrum file Analysed: AL02282019_Ti-2_10cm_room131.Chn 
 Sample Title : Ti2-L, p-10                                      

 Spectrum saved on 28-Feb-2019 at 14:43    Collected on 28-Feb-2019 at  3:40
 Sample  Taken  on 28-Feb-2019 at  3:40    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 12-Jul-2019 at 17:02
            Peak Shape Calibration Performed on 12-Jul-2019 at 17:38

 

   Datetime:  28-Feb-2019   3:40
   Live:      3634.00 
   Mass:      
   Shelf:     
   Detector:      1


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.5   0.97    37.1    1.17     16833    4.8   4.6321e+00    4.8    11690
   74.9   399.1   0.97    57.3    1.17     30054    2.8   8.2703e+00    2.8    12989
   84.8   451.5   1.15!   24.2    0.73     13916    3.1   3.8293e+00    3.1    11809
   87.4   465.3   1.16!   10.9    0.73      3917   10.2   1.0780e+00   10.2    11809
  159.5   849.4   1.08   141.4    1.35    173496    0.5   4.7743e+01    0.5    12133
  175.5   934.6   1.10    29.9    1.41     13631    3.6   3.7509e+00    3.6    14383
  271.6  1445.7   1.22    72.2    0.92     51666    1.1   1.4217e+01    1.1    11486
  508.5  2706.6   1.28     7.6    6.66      3789   11.1   1.0427e+00   11.1     4844
  511.6  2723.0   2.72    78.5    6.66    476528    0.5   1.3113e+02    0.5     9689
  514.6  2739.2   1.28     5.3    6.66      2903   13.8   7.9894e-01   13.8     4844
  890.3  4738.5   1.88    18.8    1.16      5524    4.7   1.5201e+00    4.7     3614
  929.3  4946.5   1.86     8.3    0.92      1483   14.6   4.0801e-01   14.6     3270
  945.2  5030.7   1.97    34.2    1.19     14784    2.3   4.0683e+00    2.3     3592
  984.6  5240.5   2.02   149.4    7.11    221504    0.7   6.0953e+01    0.7     3267
 1002.9  5338.1   1.94     3.3    0.78       409   49.2   1.1256e-01   49.2     3416
 1038.6  5528.2   2.09    57.8    1.24     38273    1.3   1.0532e+01    1.3     4194
 1121.8  5970.6   2.01    18.5    1.01      4352    5.1   1.1975e+00    5.1     2783
 1158.3  6165.0   2.16    41.5    1.46     18648    1.9   5.1316e+00    1.9     2057
 1214.1  6462.2   2.15     6.8    1.18       832   15.7   2.2907e-01   15.7      874
 1298.4  6910.7   2.24     3.3    0.73       163   54.8   4.4883e-02   54.8      610
 1313.5  6991.0   2.36   128.3    6.06    173021    0.6   4.7612e+01    0.6      153
 1438.6  7657.0   2.38     3.5    1.03       120   51.5   3.2997e-02   51.5      256
 1495.9  7961.9   2.44     7.9    1.08      1087    8.6   2.9899e-01    8.6      317
 1526.5  8124.5   2.47     5.5    0.88       443   15.2   1.2203e-01   15.2      227
 1669.5  8886.1   2.61     3.4    0.83       237   23.8   6.5092e-02   23.8      160
 1824.9  9712.9   2.77     6.1    1.14       924    8.3   2.5427e-01    8.3      136
 2022.9 10766.6   2.97     4.8    1.39       151   35.4   4.1430e-02   35.4      125
 2242.9 11937.6   2.79    13.1    1.63      2091    4.5   5.7545e-01    4.5       19
 2297.8 12230.0   3.25     6.8    1.48       577    9.6   1.5886e-01    9.6        8
 2351.5 12515.8   3.31     5.2    0.88       115   27.1   3.1711e-02   27.1       16

 ! indicates the Iterative Peak Width fitting reached a limiting value.
